label,description
DRAW,"A page containing a drawing, map, painting, or schematic with text labels"
DRAW,"A page with a drawing or map presented in table form or with a table legend"
DRAW,"A drawing, map, painting, sketch, diagram, schematic, or graphic figure with labels on a document page"
DRAW,"A drawing, map, painting, sketch, diagram, schematic, or graphic figure with an accompanying table or table legend on a document page"
DRAW,"A page containing drawings, maps, paintings, schematics, or graphics"
DRAW,"A page with drawings or maps presented in table form"
DRAW,"Drawings, maps, or diagrams"
DRAW,"A table or table legend together with drawings, maps, or diagrams"
DRAW,"Drawings, maps, paintings, schematics, or graphics with labels"
DRAW,"Drawings, maps, paintings, schematics, or graphics with a table legend, in a table or form"
LINE_HW,"A page with handwritten text in table form or a manually filled-in form"
LINE_HW,"A table or completed form with handwritten text rows on a document page"
LINE_HW,"A table or completed form with handwritten text"
LINE_HW,"A table or completed form with handwritten cells"
LINE_HW,"A handwritten table or a filled-in form"
LINE_HW,"A document page with handwritten table rows and manually filled fields"
LINE_HW,"A form with handwritten entries organized in rows and columns"
LINE_HW,"A page with structured handwritten information in table format"
LINE_HW,"A document with handwritten cells and manually filled table structures"
LINE_HW,"A table-based document page with handwritten notes in each row"
LINE_TP,"A page with printed text in table form or a large printed table filling the entire page"
LINE_TP,"A page with typewritten text in table form or a form filled with typewritten text"
LINE_TP,"A table or completed form with printed text rows on a document page"
LINE_TP,"A table or completed form with typewritten text rows on a document page"
LINE_TP,"A table or completed form with printed cells"
LINE_TP,"A table or completed form with typewritten cells"
LINE_TP,"A printed table or a completed form"
LINE_TP,"A typewritten table or a completed form"
LINE_TP,"A document page with printed table rows and typewritten cells"
LINE_TP,"A structured form with printed or typewritten entries in table format"
PHOTO,"A page with a photograph or photographic image with text labels"
PHOTO,"A page with a photograph presented in table form or with a table legend"
PHOTO,"A photo or photo clipping with labels attached to a document page"
PHOTO,"A photo or photo clipping with an accompanying table or table legend on a document page"
PHOTO,"Photographs or photo clippings attached to a document page"
PHOTO,"Photographs or photo clippings with a table or table legend"
PHOTO,"Photographs or photo clippings on a page"
PHOTO,"Photographs or photo clippings together with a table"
PHOTO,"A document page with photographs accompanied by labels or captions"
PHOTO,"A photographic subject placed in a table-like or form-like layout"
TEXT,"A page with mixed handwritten, printed, or typewritten text, such as a book or newspaper page with handwritten comments"
TEXT,"A document page with mixed printed and handwritten text styles"
TEXT,"A page with mixed text styles"
TEXT,"Printed and handwritten text on a page"
TEXT,"A document page with varying text styles and mixed text blocks"
TEXT,"A page with both printed and handwritten text elements in running form"
TEXT,"A mixed text page with multiple types of text presentation"
TEXT,"A document page where different text styles are combined in the same layout"
TEXT,"A page with text in multiple formats, such as marginal notes and main text"
TEXT,"A document page with both structured and unstructured text"
TEXT_HW,"A page with only handwritten text in paragraphs, such as field diaries or notebooks"
TEXT_HW,"Handwritten running text, handwritten paragraphs, or handwritten lists on a document page"
TEXT_HW,"A page with handwritten text"
TEXT_HW,"A handwritten text page"
TEXT_HW,"A document page with continuous handwritten text in running form"
TEXT_HW,"A page with handwritten notes organized in paragraphs"
TEXT_HW,"A text page with handwritten sentences and longer text blocks"
TEXT_HW,"A document page with handwritten lines in running text format"
TEXT_HW,"A page with handwritten text sections and marginal notes"
TEXT_HW,"A text page with dense handwriting and continuous text"
TEXT_TP,"A page with only printed text in paragraphs, lists, or continuous prose, such as an article page or book scan"
TEXT_TP,"A page with only typewritten text in paragraphs, lists, or continuous prose, such as older field reports"
TEXT_TP,"Printed continuous text, printed paragraphs, or printed lists on a document page"
TEXT_TP,"Typewritten continuous text, typewritten paragraphs, or typewritten lists on a document page"
TEXT_TP,"A printed text page"
TEXT_TP,"A typewritten text page"
TEXT_TP,"A typewritten document page"
TEXT_TP,"A document page with printed or typewritten continuous text in structured blocks"
TEXT_TP,"A document page with clean printed text without handwritten elements"
LINE_MIX,"A table or completed form with mixed handwritten, printed, and typewritten text rows"
LINE_MIX,"A document page with mixed text styles in table form or structured form"
LINE_MIX,"A page with handwritten, printed, and typewritten entries mixed in the same table"
LINE_MIX,"A form filled with a combination of handwritten, printed, and typewritten text"
LINE_MIX,"A table with mixed text styles in rows and columns"
LINE_MIX,"A structured document page with mixed handwritten, printed, and typewritten notes"
LINE_MIX,"A page with mixed text entries organized in a table or form"
LINE_MIX,"A document page with rows of mixed text styles"
LINE_MIX,"A table page with heterogeneous text styles in each row"
LINE_MIX,"A table or form where handwritten, printed, and typewritten text is mixed in the same structure"
MISC,"A mixed document page such as a cover, title page, or front matter"
MISC,"A document page with paratextual material or non-content elements"
MISC,"A page such as a book cover, spine, or series title page with minimal text"
MISC,"An archival page with decorative or structural elements rather than content"
MISC,"A front matter or paratext page outside the document's main content"
MISC,"A document page with non-textual or non-content elements"
MISC,"A volume cover page or title page with sparse or irregular text"
MISC,"A mixed page with layout elements rather than content text"
MISC,"A paratextual or decorative document page outside the main text"
MISC,"A document page with mixed elements not belonging to the document's primary content"
