FILE,PAGE,CLASS-1,CLASS-2,SCORE-1,SCORE-2
30003515,100,DRAW,TEXT,0.133,0.127
30003515,121,DRAW,TEXT_TP,0.124,0.118
30003515,177,DRAW,TEXT,0.122,0.12
30003532,9,DRAW,TEXT,0.158,0.114
30003532,127,DRAW,LINE_HW,0.141,0.115
30003532,143,DRAW,LINE_HW,0.141,0.114
30003535,96,DRAW,TEXT,0.136,0.123
30003535,189,DRAW,TEXT,0.145,0.116
30003535,214,TEXT,TEXT_HW,0.139,0.116
30004267,184,TEXT,TEXT_TP,0.146,0.124
30004267,187,TEXT,TEXT_TP,0.135,0.129
30004267,287,TEXT,TEXT_TP,0.145,0.124
30004270,115,TEXT,TEXT_TP,0.139,0.123
30004270,187,TEXT,TEXT_TP,0.146,0.124
30004270,214,TEXT,TEXT_TP,0.151,0.12
30004274,46,TEXT,TEXT_TP,0.143,0.127
30004274,148,TEXT,TEXT_TP,0.145,0.125
30004274,250,TEXT,TEXT_TP,0.149,0.126
40008947,200,TEXT,DRAW,0.128,0.122
40008947,546,TEXT,TEXT_HW,0.129,0.122
40008947,580,TEXT,TEXT_HW,0.138,0.122
40008950,40,DRAW,TEXT,0.161,0.113
40008950,71,TEXT,TEXT_HW,0.146,0.12
40008950,744,TEXT,TEXT_HW,0.141,0.119
40008952,295,DRAW,TEXT,0.138,0.128
40008952,379,TEXT,DRAW,0.129,0.124
40008952,382,TEXT,TEXT_HW,0.145,0.116
40008966,437,DRAW,TEXT,0.147,0.116
40008966,669,DRAW,TEXT,0.127,0.118
40008966,749,DRAW,TEXT,0.172,0.11
71000556,85,DRAW,TEXT,0.121,0.12
71000556,113,DRAW,TEXT,0.154,0.11
71000556,144,DRAW,TEXT,0.116,0.115
71000586,30,TEXT,DRAW,0.123,0.116
71000586,40,LINE_HW,DRAW,0.118,0.117
71000586,52,TEXT,DRAW,0.131,0.116
71000586,78,TEXT,DRAW,0.125,0.118
71000586,119,DRAW,TEXT,0.127,0.12
71000586,188,TEXT,DRAW,0.121,0.12
71000586,235,DRAW,TEXT,0.129,0.122
71000586,259,DRAW,TEXT,0.136,0.117
71000586,305,TEXT,DRAW,0.125,0.119
71000588,29,DRAW,TEXT,0.124,0.118
71000588,76,DRAW,TEXT,0.124,0.117
71000588,145,DRAW,TEXT,0.132,0.114
71000589,35,DRAW,TEXT,0.135,0.117
71000589,43,TEXT,DRAW,0.122,0.119
71000589,75,DRAW,TEXT,0.13,0.114
71000589,92,TEXT,DRAW,0.12,0.117
71000589,96,DRAW,TEXT,0.127,0.117
71000589,140,DRAW,TEXT,0.127,0.126
71000590,322,DRAW,TEXT,0.126,0.117
71000590,416,TEXT_HW,TEXT,0.134,0.133
71000590,468,TEXT,TEXT_HW,0.123,0.12
71000591,36,TEXT,DRAW,0.123,0.12
71000591,72,TEXT,DRAW,0.12,0.12
71000591,162,DRAW,TEXT,0.12,0.117
71000591,221,TEXT,DRAW,0.12,0.117
71000591,271,TEXT,DRAW,0.124,0.118
71000591,286,TEXT,DRAW,0.124,0.123
71000720,435,DRAW,LINE_HW,0.126,0.118
71000720,466,DRAW,TEXT,0.125,0.122
71000720,491,TEXT,DRAW,0.126,0.125
90002985,3,DRAW,TEXT,0.121,0.119
90002985,9,DRAW,TEXT,0.174,0.107
90002985,61,DRAW,TEXT,0.144,0.119
90002989,12,DRAW,LINE_HW,0.158,0.108
90002989,53,DRAW,TEXT,0.189,0.104
90002989,136,DRAW,TEXT,0.205,0.101
90002995,35,DRAW,TEXT,0.171,0.109
90002995,74,DRAW,TEXT,0.18,0.106
90002995,103,DRAW,TEXT,0.183,0.105
90002996,30,DRAW,TEXT,0.189,0.105
90002996,83,DRAW,TEXT,0.187,0.104
90002996,95,TEXT,TEXT_HW,0.125,0.122
90003009,22,DRAW,LINE_HW,0.196,0.101
90003009,64,DRAW,TEXT,0.152,0.121
90003009,96,DRAW,TEXT,0.199,0.103
90003019,5,TEXT,DRAW,0.148,0.115
90003019,24,DRAW,TEXT,0.139,0.112
90003019,38,TEXT,TEXT_HW,0.127,0.121
90003027,173,TEXT,TEXT_TP,0.132,0.12
90003027,364,TEXT,TEXT_HW,0.13,0.127
90003027,368,TEXT,TEXT_HW,0.128,0.117
90003029,23,DRAW,MISC,0.189,0.106
90003029,35,DRAW,TEXT,0.203,0.106
90003029,56,TEXT_HW,TEXT,0.123,0.119
A0039192,10,TEXT,DRAW,0.124,0.12
A0039192,19,TEXT,TEXT_HW,0.12,0.116
A0039192,38,TEXT,TEXT_HW,0.126,0.118
