FILE,PAGE,CLASS-1,CLASS-2,SCORE-1,SCORE-2
30003515,100,TEXT_HW,LINE_MIX,0.125,0.125
30003515,121,MISC,TEXT_HW,0.186,0.107
30003515,177,MISC,TEXT_TP,0.197,0.103
30003532,9,LINE_HW,LINE_MIX,0.14,0.128
30003532,127,LINE_HW,LINE_MIX,0.155,0.13
30003532,143,LINE_HW,LINE_MIX,0.138,0.126
30003535,96,TEXT_HW,LINE_HW,0.148,0.119
30003535,189,LINE_HW,LINE_MIX,0.149,0.12
30003535,214,TEXT_HW,MISC,0.187,0.108
30004267,184,TEXT,TEXT_TP,0.155,0.132
30004267,187,TEXT_TP,TEXT,0.137,0.133
30004267,287,TEXT,TEXT_TP,0.167,0.125
30004270,115,TEXT_TP,TEXT,0.131,0.131
30004270,187,TEXT_TP,TEXT,0.137,0.135
30004270,214,TEXT_TP,TEXT,0.147,0.13
30004274,46,TEXT,TEXT_TP,0.156,0.132
30004274,148,TEXT,TEXT_TP,0.144,0.136
30004274,250,TEXT,TEXT_TP,0.143,0.134
40008947,200,LINE_HW,LINE_MIX,0.139,0.129
40008947,546,LINE_HW,TEXT_HW,0.146,0.13
40008947,580,TEXT_HW,TEXT,0.146,0.124
40008950,40,LINE_HW,LINE_MIX,0.151,0.119
40008950,71,TEXT_HW,LINE_HW,0.179,0.113
40008950,744,TEXT_HW,TEXT,0.153,0.124
40008952,295,LINE_MIX,LINE_HW,0.142,0.14
40008952,379,LINE_HW,LINE_MIX,0.158,0.129
40008952,382,TEXT_HW,TEXT,0.147,0.121
40008966,437,LINE_HW,LINE_MIX,0.159,0.137
40008966,669,LINE_HW,LINE_MIX,0.151,0.138
40008966,749,LINE_HW,LINE_MIX,0.155,0.141
71000556,85,LINE_HW,LINE_MIX,0.158,0.122
71000556,113,LINE_HW,LINE_MIX,0.156,0.127
71000556,144,LINE_HW,MISC,0.156,0.119
71000586,30,LINE_HW,TEXT_HW,0.15,0.125
71000586,40,LINE_HW,LINE_MIX,0.161,0.117
71000586,52,LINE_HW,LINE_MIX,0.16,0.119
71000586,78,LINE_HW,TEXT_HW,0.142,0.123
71000586,119,LINE_HW,LINE_MIX,0.159,0.126
71000586,188,LINE_HW,LINE_MIX,0.169,0.11
71000586,235,LINE_HW,LINE_MIX,0.157,0.123
71000586,259,LINE_HW,LINE_MIX,0.163,0.117
71000586,305,LINE_HW,TEXT_HW,0.14,0.121
71000588,29,LINE_HW,LINE_MIX,0.158,0.12
71000588,76,LINE_HW,LINE_MIX,0.159,0.116
71000588,145,LINE_HW,LINE_MIX,0.149,0.13
71000589,35,LINE_HW,LINE_MIX,0.161,0.123
71000589,43,LINE_HW,LINE_MIX,0.152,0.123
71000589,75,LINE_HW,LINE_MIX,0.169,0.124
71000589,92,LINE_HW,LINE_MIX,0.151,0.124
71000589,96,LINE_HW,LINE_MIX,0.151,0.129
71000589,140,LINE_HW,LINE_MIX,0.157,0.119
71000590,322,LINE_HW,TEXT_HW,0.152,0.123
71000590,416,TEXT,PHOTO,0.122,0.12
71000590,468,LINE_HW,TEXT_HW,0.14,0.13
71000591,36,LINE_HW,LINE_MIX,0.167,0.119
71000591,72,LINE_HW,LINE_MIX,0.164,0.125
71000591,162,LINE_HW,LINE_MIX,0.158,0.124
71000591,221,LINE_HW,LINE_MIX,0.164,0.124
71000591,271,LINE_HW,LINE_MIX,0.165,0.121
71000591,286,LINE_HW,LINE_MIX,0.146,0.133
71000720,435,LINE_HW,LINE_MIX,0.159,0.124
71000720,466,LINE_HW,LINE_MIX,0.159,0.126
71000720,491,LINE_HW,LINE_MIX,0.149,0.128
90002985,3,MISC,LINE_HW,0.142,0.117
90002985,9,DRAW,MISC,0.249,0.094
90002985,61,MISC,DRAW,0.146,0.132
90002989,12,DRAW,MISC,0.248,0.094
90002989,53,DRAW,MISC,0.221,0.103
90002989,136,DRAW,MISC,0.241,0.098
90002995,35,DRAW,MISC,0.221,0.102
90002995,74,DRAW,MISC,0.251,0.094
90002995,103,DRAW,TEXT,0.244,0.095
90002996,30,DRAW,MISC,0.241,0.096
90002996,83,DRAW,TEXT,0.248,0.094
90002996,95,TEXT_HW,TEXT,0.148,0.12
90003009,22,DRAW,MISC,0.248,0.094
90003009,64,DRAW,LINE_HW,0.223,0.099
90003009,96,DRAW,MISC,0.243,0.096
90003019,5,TEXT_HW,TEXT,0.162,0.114
90003019,24,DRAW,MISC,0.162,0.132
90003019,38,TEXT_HW,MISC,0.157,0.129
90003027,173,TEXT_HW,TEXT,0.151,0.131
90003027,364,TEXT_HW,TEXT,0.145,0.133
90003027,368,TEXT_HW,TEXT,0.133,0.126
90003029,23,DRAW,MISC,0.213,0.106
90003029,35,MISC,TEXT,0.13,0.122
90003029,56,MISC,TEXT_HW,0.169,0.112
A0039192,10,TEXT_HW,LINE_HW,0.132,0.132
A0039192,19,LINE_HW,TEXT_HW,0.141,0.136
A0039192,38,TEXT_HW,LINE_HW,0.148,0.128
A0039192,47,LINE_HW,LINE_MIX,0.155,0.119
A0039192,66,LINE_HW,TEXT_HW,0.137,0.135
A0039192,67,LINE_HW,TEXT_HW,0.137,0.129
A0039192,80,TEXT_HW,LINE_HW,0.149,0.131
A0039192,97,LINE_HW,TEXT_HW,0.147,0.125
A0039192,202,LINE_HW,LINE_MIX,0.139,0.118
A0039193,18,LINE_HW,LINE_MIX,0.162,0.117
A0039193,21,LINE_HW,LINE_MIX,0.155,0.122
A0039193,28,LINE_HW,MISC,0.164,0.111
A0039193,40,LINE_HW,LINE_MIX,0.131,0.121
A0039193,51,LINE_HW,LINE_MIX,0.15,0.119
A0039193,91,LINE_HW,LINE_MIX,0.148,0.121
A0039193,102,LINE_HW,LINE_MIX,0.141,0.119
A0039193,128,TEXT_HW,LINE_HW,0.16,0.12
A0039193,129,TEXT_HW,LINE_HW,0.147,0.128
A0039194,69,LINE_HW,LINE_MIX,0.156,0.121
A0039194,115,LINE_HW,LINE_MIX,0.143,0.12
A0039194,170,TEXT_HW,LINE_HW,0.153,0.118
A0039196,32,LINE_HW,LINE_MIX,0.166,0.113
A0039196,121,LINE_HW,LINE_MIX,0.128,0.123
A0039196,134,LINE_HW,TEXT_HW,0.126,0.121
A0039197,41,LINE_HW,LINE_MIX,0.142,0.119
A0039197,52,LINE_HW,LINE_MIX,0.166,0.129
A0039197,147,LINE_HW,LINE_MIX,0.137,0.124
A0039198,9,LINE_HW,TEXT_HW,0.135,0.124
A0039198,75,LINE_HW,LINE_MIX,0.144,0.12
A0039198,82,LINE_HW,LINE_MIX,0.144,0.118
A0039198,111,LINE_HW,LINE_MIX,0.137,0.122
A0039198,132,LINE_HW,TEXT_HW,0.135,0.125
A0039198,179,LINE_HW,LINE_MIX,0.137,0.122
A0039199,48,LINE_HW,LINE_MIX,0.153,0.122
A0039199,57,TEXT_HW,LINE_HW,0.143,0.138
A0039199,68,LINE_HW,TEXT_HW,0.152,0.118
A0039201,90,LINE_HW,LINE_MIX,0.158,0.13
A0039201,128,LINE_HW,TEXT_HW,0.167,0.12
A0039201,168,LINE_HW,LINE_MIX,0.164,0.122
A0039202,29,LINE_HW,LINE_MIX,0.165,0.115
A0039202,98,LINE_HW,LINE_MIX,0.158,0.13
A0039202,138,LINE_HW,LINE_MIX,0.142,0.134
A0039203,70,LINE_HW,TEXT_HW,0.146,0.12
A0039203,107,LINE_HW,DRAW,0.179,0.109
A0039203,187,LINE_HW,LINE_MIX,0.169,0.118
A0039204,4,LINE_HW,LINE_TP,0.191,0.107
A0039204,31,LINE_HW,LINE_MIX,0.157,0.129
A0039204,43,PHOTO,DRAW,0.152,0.117
A0039204,72,PHOTO,MISC,0.145,0.118
A0039204,141,LINE_HW,LINE_MIX,0.152,0.129
A0039204,165,LINE_HW,LINE_MIX,0.168,0.12
A0039204,191,LINE_HW,LINE_MIX,0.158,0.116
A0039204,243,DRAW,LINE_HW,0.143,0.12
A0039205,1,LINE_HW,LINE_TP,0.133,0.133
A0039205,20,LINE_HW,TEXT_HW,0.151,0.122
A0039205,46,LINE_HW,LINE_MIX,0.176,0.122
A0039206,90,TEXT_HW,LINE_HW,0.156,0.13
A0039206,177,LINE_HW,TEXT_HW,0.149,0.134
A0039206,183,TEXT_HW,LINE_HW,0.145,0.14
A0039207,25,LINE_HW,TEXT_HW,0.144,0.125
A0039207,88,LINE_HW,LINE_MIX,0.177,0.122
A0039207,121,LINE_HW,TEXT_HW,0.149,0.128
A0039223,10,LINE_HW,LINE_MIX,0.166,0.109
A0039223,17,LINE_HW,TEXT_HW,0.147,0.122
A0039223,44,LINE_HW,LINE_MIX,0.17,0.119
A0039223,49,LINE_HW,LINE_MIX,0.164,0.115
A0039223,81,LINE_HW,LINE_MIX,0.174,0.117
A0039223,86,LINE_HW,LINE_MIX,0.154,0.118
A0039223,90,LINE_HW,LINE_MIX,0.146,0.126
A0039223,99,LINE_HW,LINE_MIX,0.149,0.123
A0039223,106,LINE_HW,LINE_MIX,0.145,0.125
A0039224,56,LINE_HW,LINE_MIX,0.145,0.135
A0039224,112,LINE_HW,LINE_MIX,0.157,0.127
A0039224,169,LINE_HW,LINE_MIX,0.153,0.125
A0039225,18,LINE_HW,LINE_MIX,0.15,0.121
A0039225,95,LINE_HW,LINE_MIX,0.162,0.125
A0039225,98,LINE_HW,LINE_MIX,0.162,0.117
A0039225,107,LINE_HW,LINE_MIX,0.166,0.119
A0039225,115,LINE_HW,LINE_MIX,0.155,0.117
A0039225,149,LINE_HW,LINE_MIX,0.155,0.123
A0039226,29,MISC,PHOTO,0.132,0.121
A0039226,101,LINE_HW,MISC,0.144,0.12
A0039226,151,LINE_HW,TEXT_HW,0.145,0.128
A0039226,163,LINE_HW,TEXT_HW,0.134,0.133
A0039226,173,LINE_HW,LINE_MIX,0.156,0.118
A0039226,265,LINE_HW,TEXT_HW,0.17,0.119
A0039226,298,LINE_HW,LINE_MIX,0.141,0.118
A0039226,344,LINE_HW,TEXT_HW,0.154,0.121
A0039226,396,LINE_HW,TEXT_HW,0.139,0.128
A0039227,40,LINE_HW,LINE_MIX,0.157,0.122
A0039227,46,LINE_HW,LINE_MIX,0.159,0.127
A0039227,75,LINE_HW,LINE_MIX,0.159,0.117
A0039227,123,LINE_HW,LINE_MIX,0.175,0.11
A0039227,206,LINE_HW,TEXT_HW,0.172,0.111
A0039227,223,LINE_HW,LINE_MIX,0.164,0.126
A0039228,38,LINE_HW,LINE_MIX,0.166,0.113
A0039228,71,LINE_HW,LINE_MIX,0.165,0.127
A0039228,176,LINE_HW,LINE_MIX,0.163,0.125
A0039228,193,LINE_HW,LINE_MIX,0.157,0.131
A0039228,278,LINE_HW,LINE_MIX,0.161,0.129
A0039228,336,LINE_HW,LINE_MIX,0.169,0.12
A0039228,402,LINE_HW,LINE_MIX,0.154,0.128
A0039228,439,LINE_HW,LINE_MIX,0.162,0.121
A0039228,449,LINE_HW,LINE_MIX,0.152,0.124
A0039229,48,LINE_HW,LINE_MIX,0.167,0.115
A0039229,64,LINE_HW,LINE_MIX,0.159,0.12
A0039229,137,LINE_HW,LINE_MIX,0.166,0.121
A0039229,217,LINE_HW,LINE_MIX,0.165,0.114
A0039229,384,LINE_HW,TEXT_HW,0.143,0.121
