FILE,PAGE,CLASS-1,CLASS-2,CLASS-3,SCORE-1,SCORE-2,SCORE-3
30002031,37,TEXT_HW,TEXT,MISC,0.79,0.091,0.044
30002031,58,TEXT_HW,TEXT,LINE_MIX,0.862,0.054,0.029
30002031,164,TEXT_HW,TEXT,MISC,0.804,0.081,0.043
30002032,212,LINE_TP,PHOTO,MISC,0.429,0.144,0.129
30002040,354,TEXT_HW,LINE_HW,LINE_MIX,0.44,0.215,0.195
30002040,360,LINE_TP,PHOTO,MISC,0.429,0.144,0.129
30002042,123,TEXT_HW,TEXT,TEXT_TP,0.807,0.079,0.039
30002045,57,TEXT_HW,TEXT,LINE_MIX,0.631,0.098,0.095
30002045,143,TEXT_HW,LINE_MIX,LINE_HW,0.605,0.135,0.131
30002045,169,TEXT_HW,TEXT,TEXT_TP,0.822,0.074,0.039
30002045,219,TEXT_HW,TEXT,TEXT_TP,0.773,0.089,0.051
30002048,8,TEXT_HW,LINE_MIX,TEXT,0.505,0.132,0.13
30002048,44,TEXT_HW,LINE_MIX,LINE_HW,0.686,0.091,0.083
30002048,79,TEXT_HW,TEXT,LINE_HW,0.684,0.105,0.067
30002050,196,TEXT_HW,TEXT,LINE_MIX,0.749,0.091,0.044
30002051,121,LINE_HW,TEXT_HW,LINE_MIX,0.363,0.33,0.177
30002051,152,TEXT_HW,TEXT,LINE_MIX,0.724,0.1,0.054
30002056,101,TEXT_HW,TEXT,TEXT_TP,0.806,0.074,0.043
30002056,114,TEXT_HW,TEXT,LINE_MIX,0.764,0.071,0.066
30002056,172,LINE_HW,LINE_MIX,TEXT_HW,0.602,0.24,0.079
30002056,268,TEXT_HW,LINE_MIX,LINE_HW,0.758,0.066,0.064
30002056,530,TEXT_HW,TEXT,LINE_MIX,0.782,0.069,0.063
30002057,11,LINE_HW,TEXT_HW,LINE_MIX,0.697,0.1,0.097
30002057,43,LINE_HW,LINE_MIX,TEXT_HW,0.658,0.116,0.076
30002057,67,LINE_HW,TEXT_HW,LINE_MIX,0.632,0.115,0.106
30002057,77,LINE_HW,TEXT_HW,LINE_MIX,0.595,0.135,0.099
30002057,128,LINE_HW,LINE_MIX,TEXT_HW,0.697,0.082,0.077
30002057,142,LINE_HW,TEXT_HW,LINE_MIX,0.639,0.115,0.098
30002057,143,LINE_HW,TEXT_HW,LINE_MIX,0.575,0.13,0.108
30002057,175,LINE_HW,TEXT_HW,LINE_MIX,0.684,0.102,0.099
30003046,17,TEXT_HW,LINE_HW,LINE_MIX,0.505,0.186,0.111
30003046,23,TEXT_HW,LINE_HW,LINE_MIX,0.397,0.23,0.158
30003046,24,TEXT_HW,LINE_HW,LINE_MIX,0.366,0.252,0.148
30003046,27,TEXT_HW,LINE_HW,LINE_MIX,0.318,0.285,0.143
30003046,42,TEXT_HW,LINE_HW,TEXT,0.516,0.146,0.117
30003046,66,TEXT_HW,TEXT,LINE_HW,0.432,0.159,0.149
30003046,72,TEXT_HW,LINE_HW,TEXT,0.543,0.144,0.105
30003050,1,LINE_TP,TEXT,MISC,0.212,0.184,0.145
30003050,28,TEXT_HW,TEXT,LINE_HW,0.515,0.145,0.115
30003050,38,TEXT_HW,LINE_MIX,TEXT,0.392,0.171,0.153
30003050,67,TEXT_HW,LINE_HW,LINE_MIX,0.487,0.185,0.125
30003050,94,TEXT_HW,LINE_HW,TEXT,0.538,0.175,0.106
30003050,101,LINE_TP,MISC,LINE_MIX,0.429,0.125,0.123
30003051,41,LINE_HW,LINE_MIX,LINE_TP,0.512,0.189,0.113
30003051,80,LINE_HW,TEXT_HW,LINE_MIX,0.415,0.205,0.143
30003051,111,LINE_HW,LINE_MIX,TEXT_HW,0.521,0.145,0.134
30003051,120,LINE_HW,LINE_MIX,TEXT_HW,0.596,0.115,0.072
30003051,128,LINE_HW,LINE_MIX,LINE_TP,0.623,0.158,0.074
30003051,155,LINE_HW,LINE_MIX,TEXT_HW,0.549,0.17,0.103
30003051,292,LINE_HW,LINE_MIX,LINE_TP,0.531,0.167,0.085
30003051,306,LINE_HW,LINE_MIX,LINE_TP,0.563,0.183,0.092
30003052,10,TEXT_HW,LINE_MIX,LINE_HW,0.347,0.169,0.164
30003052,61,LINE_HW,TEXT_HW,LINE_MIX,0.325,0.213,0.119
30003052,67,LINE_HW,TEXT_HW,LINE_MIX,0.448,0.15,0.126
