image_id,local_filename,image_url,sok_url,arkiv,serie,referenskod,datering,anmärkning,pid,referenskod_ead,arkivenhetstyp,titel,match_key,CLASS-1,CLASS-2,SCORE-1,SCORE-2
R0000816_00007,R0000816_00007.jpg,https://lbiiif.riksarkivet.se/arkis!R0000816_00007/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0000816_00007,Kommission i Bohus län ang trolldomsväsendet,Kommission i Bohus län ang trolldomsväsendet,SE/RA/310180/1 ,1670-1671,"Handlingar. Innehåller bl.a. rannsakningsprotokoll 11 oktober 1669 och 25 november 1670 (lagmansrätt).
Skrivelser till Kungl. Maj:t 1669.",tdtCPxtqH4QfCz8mFosw54,SE/RA/310180/1,Serie,1670--1671,R0000816_00007,MISC,TEXT_TP,1.0,0.0
R0000816_00023,R0000816_00023.jpg,https://lbiiif.riksarkivet.se/arkis!R0000816_00023/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0000816_00023,Kommission i Bohus län ang trolldomsväsendet,Kommission i Bohus län ang trolldomsväsendet,SE/RA/310180/1 ,1670-1671,"Handlingar. Innehåller bl.a. rannsakningsprotokoll 11 oktober 1669 och 25 november 1670 (lagmansrätt).
Skrivelser till Kungl. Maj:t 1669.",tdtCPxtqH4QfCz8mFosw54,SE/RA/310180/1,Serie,1670--1671,R0000816_00023,TEXT_HW,TEXT,1.0,0.0
R0000816_00010,R0000816_00010.jpg,https://lbiiif.riksarkivet.se/arkis!R0000816_00010/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0000816_00010,Kommission i Bohus län ang trolldomsväsendet,Kommission i Bohus län ang trolldomsväsendet,SE/RA/310180/1 ,1670-1671,"Handlingar. Innehåller bl.a. rannsakningsprotokoll 11 oktober 1669 och 25 november 1670 (lagmansrätt).
Skrivelser till Kungl. Maj:t 1669.",tdtCPxtqH4QfCz8mFosw54,SE/RA/310180/1,Serie,1670--1671,R0000816_00010,TEXT_HW,TEXT,1.0,0.0
R0000816_00004,R0000816_00004.jpg,https://lbiiif.riksarkivet.se/arkis!R0000816_00004/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0000816_00004,Kommission i Bohus län ang trolldomsväsendet,Kommission i Bohus län ang trolldomsväsendet,SE/RA/310180/1 ,1670-1671,"Handlingar. Innehåller bl.a. rannsakningsprotokoll 11 oktober 1669 och 25 november 1670 (lagmansrätt).
Skrivelser till Kungl. Maj:t 1669.",tdtCPxtqH4QfCz8mFosw54,SE/RA/310180/1,Serie,1670--1671,R0000816_00004,TEXT_HW,TEXT,1.0,0.0
R0000816_00006,R0000816_00006.jpg,https://lbiiif.riksarkivet.se/arkis!R0000816_00006/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0000816_00006,Kommission i Bohus län ang trolldomsväsendet,Kommission i Bohus län ang trolldomsväsendet,SE/RA/310180/1 ,1670-1671,"Handlingar. Innehåller bl.a. rannsakningsprotokoll 11 oktober 1669 och 25 november 1670 (lagmansrätt).
Skrivelser till Kungl. Maj:t 1669.",tdtCPxtqH4QfCz8mFosw54,SE/RA/310180/1,Serie,1670--1671,R0000816_00006,MISC,TEXT_HW,0.938,0.062
R0000816_00018,R0000816_00018.jpg,https://lbiiif.riksarkivet.se/arkis!R0000816_00018/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0000816_00018,Kommission i Bohus län ang trolldomsväsendet,Kommission i Bohus län ang trolldomsväsendet,SE/RA/310180/1 ,1670-1671,"Handlingar. Innehåller bl.a. rannsakningsprotokoll 11 oktober 1669 och 25 november 1670 (lagmansrätt).
Skrivelser till Kungl. Maj:t 1669.",tdtCPxtqH4QfCz8mFosw54,SE/RA/310180/1,Serie,1670--1671,R0000816_00018,TEXT_HW,TEXT,1.0,0.0
R0000816_00024,R0000816_00024.jpg,https://lbiiif.riksarkivet.se/arkis!R0000816_00024/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0000816_00024,Kommission i Bohus län ang trolldomsväsendet,Kommission i Bohus län ang trolldomsväsendet,SE/RA/310180/1 ,1670-1671,"Handlingar. Innehåller bl.a. rannsakningsprotokoll 11 oktober 1669 och 25 november 1670 (lagmansrätt).
Skrivelser till Kungl. Maj:t 1669.",tdtCPxtqH4QfCz8mFosw54,SE/RA/310180/1,Serie,1670--1671,R0000816_00024,TEXT_HW,TEXT,1.0,0.0
R0000816_00021,R0000816_00021.jpg,https://lbiiif.riksarkivet.se/arkis!R0000816_00021/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0000816_00021,Kommission i Bohus län ang trolldomsväsendet,Kommission i Bohus län ang trolldomsväsendet,SE/RA/310180/1 ,1670-1671,"Handlingar. Innehåller bl.a. rannsakningsprotokoll 11 oktober 1669 och 25 november 1670 (lagmansrätt).
Skrivelser till Kungl. Maj:t 1669.",tdtCPxtqH4QfCz8mFosw54,SE/RA/310180/1,Serie,1670--1671,R0000816_00021,TEXT_HW,TEXT,1.0,0.0
R0001209_00001,R0001209_00001.jpg,https://lbiiif.riksarkivet.se/arkis!R0001209_00001/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001209_00001,Kommission i Dalarna ang trolldomsväsendet,Kommission i Dalarna ang trolldomsväsendet,SE/RA/310180A/1 ,1670-1671,"Skrivelse angående präster förordade att deltaga i kommissionsrannsakningarna i Leksand och Rättvik, från Västeråsbiskopen Nicolaus Rudbeckius (1670). 
Skrivelse från allmogen i Åls socken 7 januari 1671. ",d1b3cucWIKMBUxPR00NZt1,SE/RA/310180A/1,Serie,1670--1671,R0001209_00001,MISC,DRAW,1.0,0.0
R0001209_00002,R0001209_00002.jpg,https://lbiiif.riksarkivet.se/arkis!R0001209_00002/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001209_00002,Kommission i Dalarna ang trolldomsväsendet,Kommission i Dalarna ang trolldomsväsendet,SE/RA/310180A/1 ,1670-1671,"Skrivelse angående präster förordade att deltaga i kommissionsrannsakningarna i Leksand och Rättvik, från Västeråsbiskopen Nicolaus Rudbeckius (1670). 
Skrivelse från allmogen i Åls socken 7 januari 1671. ",d1b3cucWIKMBUxPR00NZt1,SE/RA/310180A/1,Serie,1670--1671,R0001209_00002,MISC,TEXT_HW,0.999,0.0
